product_id,manufacturer_name,brand_name,color_name,material_code,color_measured_hex,color_measured_rgb,color_measured_cielab,shopify_url_linkfromset
PCDB-002-001-1,Polymaker,Panchroma Matte PLA,Arctic Teal,PLA,#66c2be,"102, 194, 190",73.16 -28.5 -6.1,https://theprintcodex.com/products/PCX-002-001-polyterra-pla-arctic-teal
PCDB-002-002-1,Polymaker,Panchroma Matte PLA,Army Beige,PLA,#d1b6a2,"209, 182, 162",75.79 6.85 13.75,https://theprintcodex.com/products/PCX-002-002-polyterra-pla-army-beige
PCDB-002-003-1,Polymaker,Panchroma Matte PLA,Army Blue,PLA,#2a4056,"42, 64, 86",26.33 -1.96 -15.54,https://theprintcodex.com/products/PCX-002-003-polyterra-pla-army-blue
PCDB-002-004-1,Polymaker,Panchroma Matte PLA,Army Brown,PLA,#796359,"121, 99, 89",43.9 7.26 9.06,https://theprintcodex.com/products/PCX-002-004-polyterra-pla-army-brown
PCDB-002-005-1,Polymaker,Panchroma Matte PLA,Army Dark Green,PLA,#646a4f,"100, 106, 79",43.76 -7.64 14.77,https://theprintcodex.com/products/PCX-002-005-polyterra-pla-army-dark-green
PCDB-002-006-1,Polymaker,Panchroma Matte PLA,Army Light Green,PLA,#b59b43,"181, 155, 67",64.67 -0.65 48.34,https://theprintcodex.com/products/PCX-002-006-polyterra-pla-army-light-green
PCDB-002-007-1,Polymaker,Panchroma Matte PLA,Army Red,PLA,#ab3d3d,"171, 61, 61",41.82 45.24 24.62,https://theprintcodex.com/products/PCX-002-007-polyterra-pla-army-red
PCDB-002-008-1,Polymaker,Panchroma Matte PLA,Charcoal Black,PLA,#3b3d3f,"59, 61, 63",24.67 -1.15 -0.35,https://theprintcodex.com/products/PCX-002-008-polyterra-pla-charcoal-black
PCDB-002-009-1,Polymaker,Panchroma Matte PLA,Cotton White,PLA,#e8e9e4,"232, 233, 228",91.91 -1.42 2.25,https://theprintcodex.com/products/PCX-002-009-polyterra-pla-cotton-white
PCDB-002-010-1,Polymaker,Panchroma Matte PLA,Earth Brown,PLA,#74594b,"116, 89, 75",40.08 9.13 12.12,https://theprintcodex.com/products/PCX-002-010-polyterra-pla-earth-brown
PCDB-002-011-1,Polymaker,Panchroma Matte PLA,Forest Green,PLA,#6bb176,"107, 177, 118",65.75 -35.71 24.11,https://theprintcodex.com/products/PCX-002-011-polyterra-pla-forest-green
PCDB-002-012-1,Polymaker,Panchroma Matte PLA,Fossil Grey,PLA,#899298,"137, 146, 152",60.11 -2.05 -4.06,https://theprintcodex.com/products/PCX-002-012-polyterra-pla-fossil-grey
PCDB-002-013-1,Polymaker,Panchroma Matte PLA,Lava Red,PLA,#d14152,"209, 65, 82",49.91 56.31 22.56,https://theprintcodex.com/products/PCX-002-013-polyterra-pla-lava-red
PCDB-002-014-1,Polymaker,Panchroma Matte PLA,Lavender Purple,PLA,#9288c2,"146, 136, 194",59.52 16.34 -29.07,https://theprintcodex.com/products/PCX-002-014-polyterra-pla-lavender-purple
